Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Region,State,Category,Sub-Category,Sales,Quantity,Discount,Profit
1,CA-2024-100000,2024-02-01,2024-02-05,Second Class,CG-10000,Corporate,West,California,Furniture,Furnishings,14.61,11,0.0,2.4
2,CA-2024-100001,2024-10-28,2024-11-03,Standard Class,CG-10001,Corporate,East,Pennsylvania,Office Supplies,Binders,18.74,12,0.0,4.39
3,CA-2021-100002,2021-01-22,2021-01-28,Standard Class,CG-10002,Consumer,West,Colorado,Furniture,Bookcases,201.09,14,0.5,-131.42
4,CA-2022-100003,2022-11-18,2022-11-18,Same Day,CG-10003,Corporate,South,Florida,Office Supplies,Appliances,156.4,9,0.2,-8.31
5,CA-2024-100004,2024-07-21,2024-07-23,First Class,CG-10004,Home Office,West,Washington,Technology,Copiers,129.71,12,0.2,-16.7
6,CA-2024-100005,2024-12-22,2024-12-25,First Class,CG-10005,Consumer,West,Arizona,Furniture,Chairs,720.31,6,0.0,45.65
7,CA-2024-100006,2024-02-04,2024-02-07,First Class,CG-10006,Corporate,South,North Carolina,Furniture,Tables,5.0,8,0.4,-2.66
8,CA-2024-100007,2024-06-29,2024-07-05,Standard Class,CG-10007,Consumer,Central,Missouri,Office Supplies,Appliances,109.16,12,0.0,25.53
9,CA-2022-100008,2022-01-15,2022-01-21,Standard Class,CG-10008,Consumer,East,Connecticut,Furniture,Tables,337.81,8,0.0,30.99
10,CA-2023-100009,2023-12-23,2023-12-27,Second Class,CG-10009,Corporate,Central,Ohio,Office Supplies,Binders,18.25,8,0.3,-3.82
11,CA-2023-100010,2023-07-19,2023-07-22,Second Class,CG-10010,Consumer,East,New Jersey,Office Supplies,Art,121.5,3,0.0,36.67
12,CA-2022-100011,2022-09-05,2022-09-09,Second Class,CG-10011,Home Office,West,Nevada,Technology,Accessories,81.13,10,0.0,12.55
13,CA-2023-100012,2023-06-11,2023-06-14,Second Class,CG-10012,Consumer,Central,Missouri,Furniture,Furnishings,375.69,7,0.4,-210.25
14,CA-2023-100013,2023-01-19,2023-01-21,First Class,CG-10013,Corporate,Central,Missouri,Furniture,Bookcases,804.42,10,0.3,-261.67
15,CA-2023-100014,2023-10-10,2023-10-15,Standard Class,CG-10014,Home Office,South,Alabama,Technology,Accessories,475.68,12,0.3,-114.61
16,CA-2024-100015,2024-06-08,2024-06-11,Second Class,CG-10015,Home Office,South,Florida,Furniture,Furnishings,106.31,14,0.1,-6.93
17,CA-2024-100016,2024-06-02,2024-06-05,First Class,CG-10016,Consumer,Central,Wisconsin,Office Supplies,Envelopes,70.05,1,0.2,-7.75
18,CA-2022-100017,2022-03-18,2022-03-24,Standard Class,CG-10017,Home Office,West,California,Furniture,Chairs,49.69,1,0.0,3.49
19,CA-2022-100018,2022-10-04,2022-10-10,Standard Class,CG-10018,Consumer,Central,Texas,Furniture,Chairs,779.38,10,0.1,-14.05
20,CA-2024-100019,2024-12-10,2024-12-16,Standard Class,CG-10019,Corporate,West,Nevada,Furniture,Furnishings,693.79,2,0.0,56.49
21,CA-2023-100020,2023-09-09,2023-09-12,First Class,CG-10020,Corporate,South,Louisiana,Furniture,Furnishings,100.65,4,0.0,8.36
22,CA-2023-100021,2023-08-13,2023-08-16,First Class,CG-10021,Consumer,East,New Jersey,Office Supplies,Labels,5.0,8,0.4,-1.79
